iata,name,latitude_deg,longitude_deg,continent,iso_country,municipality,timezone,icao_code,gps_code
AAA,Anaa Airport,-17.3526,-145.509995,OC,PF,Anaa,Pacific/Tahiti,NTGA,NTGA
AAC,El Arish International Airport,31.078565,33.836791,AS,EG,El Arish,Africa/Cairo,HEAR,HEAR
AAE,Annaba Rabah Bitat Airport,36.826781,7.81334,AF,DZ,Annaba,Africa/Algiers,DABB,DABB
AAL,Aalborg Airport,57.094763,9.84993,EU,DK,Aalborg,Europe/Copenhagen,EKYT,EKYT
AAM,Malamala Airport,-24.816866,31.544085,AF,ZA,Malamala,Africa/Johannesburg,FAMD,FAMD
AAN,Al Ain International Airport,24.261699676513672,55.60919952392578,AS,AE,Al Ain,Asia/Dubai,OMAL,OMAL
AAO,Anaco Airport,9.430225,-64.470726,SA,VE,Anaco,America/Caracas,SVAN,SVAN
AAP,Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,AS,ID,Samarinda,Asia/Makassar,WALS,WALS
AAQ,Anapa Vityazevo Airport,45.002102,37.347301,EU,RU,Krasnyi Kurgan,Europe/Moscow,URKA,URKA
AAR,Aarhus Airport,56.303331,10.618286,EU,DK,Aarhus,Europe/Copenhagen,EKAH,EKAH
AAT,Altay Xuedu Airport,47.749886,88.085808,AS,CN,Altay,Asia/Urumqi,ZWAT,ZWAT
AAV,Allah Valley Airport,6.367903,124.752431,AS,PH,Surallah,Asia/Manila,RPMA,RPMA
AAX,Romeu Zema Airport,-19.5632,-46.9604,SA,BR,Araxá,America/Sao_Paulo,SBAX,SBAX
AAY,Al Ghaydah International Airport,16.193341,52.174186,AS,YE,Al Ghaydah,Asia/Aden,OYGD,OYGD
ABA,Abakan International Airport,53.740002,91.385002,AS,RU,Abakan,Asia/Krasnoyarsk,UNAA,UNAA
ABB,Asaba International Airport,6.204167,6.665278,AF,NG,Asaba,Africa/Lagos,DNAS,DNAS
ABC,Albacete Airport / Los Llanos Air Base,38.948502,-1.86352,EU,ES,Albacete,Europe/Madrid,LEAB,LEAB
ABD,Abadan Airport,30.367887,48.230075,AS,IR,Abadan,Asia/Tehran,OIAA,OIAA
ABE,Lehigh Valley International Airport,40.651773,-75.442797,NA,US,Allentown,America/New_York,KABE,KABE
ABI,Abilene Regional Airport,32.4113006592,-99.68190002440001,NA,US,Abilene,America/Chicago,KABI,KABI
ABJ,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629,AF,CI,Abidjan,Africa/Abidjan,DIAP,DIAP
ABK,Kebri Dahar Airport,6.732577,44.241339,AF,ET,Kebri Dahar,Africa/Addis_Ababa,HAKD,HAKD
ABL,Ambler Airport,67.105529,-157.855339,NA,US,Ambler,America/Anchorage,PAFM,PAFM
ABQ,Albuquerque International Sunport,35.039976,-106.608925,NA,US,Albuquerque,America/Denver,KABQ,KABQ
ABR,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,NA,US,Aberdeen,America/Chicago,KABR,KABR
ABS,Abu Simbel Airport,22.367657,31.609962,AF,EG,Abu Simbel,Africa/Cairo,HEBL,HEBL
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,20.298506,41.636153,AS,SA,Al-Baha,Asia/Riyadh,OEBA,OEBA
ABV,Nnamdi Azikiwe International Airport,9.00679,7.26317,AF,NG,Abuja,Africa/Lagos,DNAA,DNAA
ABX,Albury Airport,-36.066758,146.959148,OC,AU,East Albury,Australia/Sydney,YMAY,YMAY
ABY,Southwest Georgia Regional Airport,31.532946,-84.196215,NA,US,Albany,America/New_York,KABY,KABY
ABZ,Aberdeen International Airport,57.2019,-2.19778,EU,GB,Aberdeen,Europe/London,EGPD,EGPD
ACA,General Juan N. Álvarez International Airport,16.757126,-99.753113,NA,MX,Acapulco,America/Mexico_City,MMAA,MMAA
ACC,Kotoka International Airport,5.605189800262451,-0.16678600013256073,AF,GH,Accra,Africa/Accra,DGAA,DGAA
ACE,César Manrique-Lanzarote Airport,28.945499,-13.6052,AF,ES,San Bartolomé,Atlantic/Canary,GCRR,GCRR
ACH,Sankt Gallen Altenrhein Airport,47.485001,9.56077,EU,CH,St. Gallen,Europe/Zurich,LSZR,LSZR
ACI,Alderney Airport,49.706104,-2.21472,EU,GG,Saint Anne,Europe/Guernsey,EGJA,EGJA
ACJ,Anuradhapura Airport,8.301542,80.42848,AS,LK,Anuradhapura,Asia/Colombo,VCCA,VCCA
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,NA,US,Nantucket,America/New_York,KACK,KACK
ACS,Achinsk Airport,56.269185,90.57511,AS,RU,Achinsk,Asia/Krasnoyarsk,UNKS,UNKS
ACT,Waco Regional Airport,31.611299514770508,-97.23049926757812,NA,US,Waco,America/Chicago,KACT,KACT
ACV,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,NA,US,Arcata/Eureka,America/Los_Angeles,KACV,KACV
ACX,Xingyi Wanfenglin Airport,25.083423,104.960804,AS,CN,Xingyi,Asia/Shanghai,ZUYI,ZUYI
ACY,Atlantic City International Airport,39.45759963989258,-74.57720184326172,NA,US,Atlantic City,America/New_York,KACY,KACY
ACZ,Zabol Airport,31.098301,61.5439,AS,IR,Zabol,Asia/Tehran,OIZB,OIZB
ADA,Adana Şakirpaşa Airport,36.982201,35.280399,AS,TR,Seyhan,Europe/Istanbul,LTAF,LTAF
ADB,Adnan Menderes International Airport,38.2924,27.157,AS,TR,Gaziemir,Europe/Istanbul,LTBJ,LTBJ
ADD,Addis Ababa Bole International Airport,8.97789,38.799301,AF,ET,Addis Ababa,Africa/Addis_Ababa,HAAB,HAAB
ADE,Aden International Airport,12.8295,45.028801,AS,YE,Aden,Asia/Aden,OYAA,OYAA
ADF,Adıyaman Airport,37.7314,38.468899,AS,TR,Adıyaman,Europe/Istanbul,LTCP,LTCP
ADI,Arandis Airport,-22.461875,14.979322,AF,NA,Arandis,Africa/Windhoek,FYAR,FYAR
ADJ,Amman Civil (Marka International) Airport,31.9727,35.9916,AS,JO,Amman,Asia/Amman,OJAM,OJAM
ADK,Adak Airport,51.883564,-176.642783,NA,US,Adak,America/Adak,PADK,PADK
ADL,Adelaide International Airport,-34.947512,138.533393,OC,AU,Adelaide,Australia/Adelaide,YPAD,YPAD
ADP,Ampara Airport,7.336745,81.623869,AS,LK,Ampara,Asia/Colombo,VCCG,VCCG
ADQ,Kodiak Airport,57.75,-152.4940033,NA,US,Kodiak,America/Anchorage,PADQ,PADQ
ADT,Ada Regional Airport,34.805214,-96.671988,NA,US,Ada,America/Chicago,KADH,KADH
ADU,Ardabil Airport,38.3256988525,48.4244003296,AS,IR,Ardabil,Asia/Tehran,OITL,OITL
ADW,Joint Base Andrews,38.810799,-76.866997,NA,US,Camp Springs,America/New_York,KADW,KADW
ADX,Leuchars Station Airfield,56.37398,-2.868862,EU,GB,"Leuchars, Fife",Europe/London,EGQL,EGQL
ADZ,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112,NA,CO,San Andrés,America/Bogota,SKSP,SKSP
AEB,Baise (Bose) Bama Airport,23.7206,106.959999,AS,CN,Baise (Tianyang),Asia/Shanghai,ZGBS,ZGBS
AEG,Aek Godang Airport,1.4001,99.430496,AS,ID,Padang Sidempuan,Asia/Jakarta,WIME,WIME
AEH,Abeche Airport,13.847,20.844299,AF,TD,Abeche,Africa/Ndjamena,FTTC,FTTC
AEP,Jorge Newbery Airpark,-34.5592,-58.4156,SA,AR,Buenos Aires,America/Argentina/Buenos_Aires,SABE,SABE
AER,Sochi International Airport,43.449902,39.9566,EU,RU,Sochi,Europe/Moscow,URSS,URSS
AES,"Ålesund Airport, Vigra",62.5625,6.1197,EU,NO,Ålesund,Europe/Oslo,ENAL,ENAL
AEU,Abu Musa Island Airport,25.8757,55.033001,AS,IR,Abu Musa,Asia/Tehran,OIBA,OIBA
AEX,Alexandria International Airport,31.3274,-92.549797,NA,US,Alexandria,America/Chicago,KAEX,KAEX
AEY,Akureyri Airport,65.656573,-18.072018,EU,IS,Akureyri,Atlantic/Reykjavik,BIAR,BIAR
AFA,Suboficial Ay Santiago Germano Airport,-34.588299,-68.4039,SA,AR,San Rafael,America/Argentina/Mendoza,SAMR,SAMR
AFL,Piloto Osvaldo Marques Dias Airport,-9.866389,-56.106298,SA,BR,Alta Floresta,America/Cuiaba,SBAT,SBAT
AFW,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,NA,US,Fort Worth,America/Chicago,KAFW,KAFW
AFY,Afyon Air Base,38.726398,30.601101,AS,TR,Afyonkarahisar,Europe/Istanbul,LTAH,LTAH
AFZ,Sabzevar National Airport,36.16809844970703,57.59519958496094,AS,IR,Sabzevar,Asia/Tehran,OIMS,OIMS
AGA,Al Massira Airport,30.322478,-9.412003,AF,MA,Agadir (Temsia),Africa/Casablanca,GMAD,GMAD
AGB,Augsburg Airport,48.425278,10.931667,EU,DE,Augsburg,Europe/Berlin,EDMA,EDMA
AGC,Allegheny County Airport,40.354401,-79.930199,NA,US,Pittsburgh,America/New_York,KAGC,KAGC
AGF,Agen La Garenne airport,44.174171,0.59309,EU,FR,Agen,Europe/Paris,LFBA,LFBA
AGH,Ängelholm-Helsingborg Airport,56.29610061645508,12.847100257873535,EU,SE,Ängelholm,Europe/Stockholm,ESTA,ESTA
AGP,Málaga-Costa del Sol Airport,36.6749,-4.49911,EU,ES,Málaga,Europe/Madrid,LEMG,LEMG
AGR,Agra Airport / Agra Air Force Station,27.157683,77.960942,AS,IN,Agra,Asia/Kolkata,VIAG,VIAG
AGS,Augusta Regional At Bush Field,33.3699,-81.9645,NA,US,Augusta,America/New_York,KAGS,KAGS
AGT,Aeropuerto Internacional Guaraní,-25.457186,-54.839544,SA,PY,Ciudad del Este,America/Asuncion,SGES,SGES
AGU,Jesús Terán Peredo International Airport,21.699589,-102.318372,NA,MX,Aguascalientes,America/Mexico_City,MMAS,MMAS
AGV,Oswaldo Guevara Mujica Airport,9.553375,-69.237869,SA,VE,Acarigua,America/Caracas,SVAC,SVAC
AGX,Agatti Airport,10.8237,72.176003,AS,IN,Agatti,Asia/Kolkata,VOAT,VOAT
AGZ,Aggeneys Airport,-29.281799,18.8139,AF,ZA,Aggeneys,Africa/Johannesburg,FAAG,FAAG
AHA,Maa Mahamaya Airport,22.98753,83.19612,AS,IN,Ambikapur,Asia/Kolkata,VEAP,
AHB,Abha International Airport,18.2404,42.656601,AS,SA,Abha,Asia/Riyadh,OEAB,OEAB
AHE,Ahe Airport,-14.428099632263184,-146.2570037841797,OC,PF,Ahe Atoll,Pacific/Tahiti,NTHE,NTHE
AHJ,Hongyuan Airport,32.53154,102.35224,AS,CN,Ngawa (Hongyuan),Asia/Shanghai,ZUHY,ZUHY
AHN,Athens Ben Epps Airport,33.948842,-83.325634,NA,US,Athens,America/New_York,KAHN,KAHN
AHO,Alghero-Fertilia Airport,40.632099,8.29077,EU,IT,Alghero,Europe/Rome,LIEA,LIEA
AHU,Cherif Al Idrissi Airport,35.177101,-3.83952,AF,MA,Al Hoceima,Africa/Casablanca,GMTA,GMTA
AIA,Alliance Municipal Airport,42.052543,-102.803965,NA,US,Alliance,America/Denver,KAIA,KAIA
AIN,Wainwright Airport,70.638,-159.994995,NA,US,Wainwright,America/Anchorage,PAWI,PAWI
AJA,Ajaccio Napoléon Bonaparte airport,41.923599,8.80292,EU,FR,Ajaccio,Europe/Paris,LFKJ,LFKJ
AJF,Al-Jawf Domestic Airport,29.78510093688965,40.099998474121094,AS,SA,Al-Jawf,Asia/Riyadh,OESK,OESK
AJI,Ağrı Airport,39.655642,43.025742,AS,TR,Ağrı,Europe/Istanbul,LTCO,LTCO
AJL,Lengpui Airport,23.840599,92.619698,AS,IN,Aizawl (Lengpui),Asia/Kolkata,VELP,VELP
AJN,Ouani Airport,-12.131047,44.430044,AF,KM,Ouani,Indian/Comoro,FMCV,FMCV
AJR,Arvidsjaur Airport,65.59030151367188,19.28190040588379,EU,SE,Arvidsjaur,Europe/Stockholm,ESNX,ESNX
AJU,Aracaju - Santa Maria International Airport,-10.984,-37.070301,SA,BR,Aracaju,America/Maceio,SBAR,SBAR
AJY,Mano Dayak International Airport,16.965999603271484,8.000109672546387,AF,NE,Agadez,Africa/Niamey,DRZA,DRZA
AKC,Akron Fulton International Airport,41.037355,-81.46784,NA,US,Akron,America/New_York,KAKR,KAKR
AKD,Akola Airport,20.698931,77.056883,AS,IN,Akola,Asia/Kolkata,VAAK,VAAK
AKF,Kufra Airport,24.178699493408203,23.31399917602539,AF,LY,Kufra,Africa/Tripoli,HLKF,HLKF
AKH,Prince Sultan Air Base,24.0627,47.580502,AS,SA,Al Kharj,Asia/Riyadh,OEPS,OEPS
AKJ,Asahikawa Airport,43.670799,142.447006,AS,JP,Higashikagura,Asia/Tokyo,RJEC,RJEC
AKL,Auckland International Airport,-37.01199,174.786331,OC,NZ,Auckland,Pacific/Auckland,NZAA,NZAA
AKN,King Salmon Airport,58.677845,-156.651965,NA,US,King Salmon,America/Anchorage,PAKN,PAKN
AKP,Anaktuvuk Pass Airport,68.133598,-151.742996,NA,US,Anaktuvuk Pass,America/Anchorage,PAKP,PAKP
AKR,Akure Airport,7.246739864349365,5.3010101318359375,AF,NG,Akure,Africa/Lagos,DNAK,DNAK
AKT,RAF Akrotiri,34.590401,32.9879,AS,CY,Akrotiri,Asia/Nicosia,LCRA,LCRA
AKU,Aksu Hongqipo Airport,41.262501,80.291702,AS,CN,Aksu (Onsu),Asia/Urumqi,ZWAK,ZWAK
AKW,Aghajari Airport,30.7444,49.6772,AS,IR,Aghajari,Asia/Tehran,OIAG,OIAG
AKX,Aktobe Airport,50.2458,57.206699,AS,KZ,Aktobe,Asia/Aqtobe,UATT,UATT
AKY,Sittwe Airport,20.133165,92.870693,AS,MM,Sittwe,Asia/Yangon,VYSW,VYSW
ALA,Almaty International Airport,43.354267,77.042828,AS,KZ,Almaty,Asia/Almaty,UAAA,UAAA
ALB,Albany International Airport,42.74829864501953,-73.80169677734375,NA,US,Albany,America/New_York,KALB,KALB
ALC,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,EU,ES,Alicante,Europe/Madrid,LEAL,LEAL
ALF,Alta Airport,69.976097,23.3717,EU,NO,Alta,Europe/Oslo,ENAT,ENAT
ALG,Houari Boumediene Airport,36.693886,3.214531,AF,DZ,Algiers,Africa/Algiers,DAAG,DAAG
ALH,Albany Airport,-34.944519,117.808896,OC,AU,Albany,Australia/Perth,YABA,YABA
ALI,Alice International Airport,27.7409,-98.026901,NA,US,Alice,America/Chicago,KALI,KALI
ALJ,Alexander Bay Airport,-28.575001,16.5333,AF,ZA,Alexander Bay,Africa/Johannesburg,FAAB,FAAB
ALM,Alamogordo White Sands Regional Airport,32.837818,-105.993149,NA,US,Alamogordo,America/Denver,KALM,KALM
ALN,St Louis Regional Airport,38.89030075069999,-90.0459976196,NA,US,Alton/St Louis,America/Chicago,KALN,KALN
ALO,Waterloo Regional Airport,42.557098388671875,-92.40029907226562,NA,US,Waterloo,America/Chicago,KALO,KALO
ALP,Aleppo International Airport,36.180698,37.2244,AS,SY,Aleppo,Asia/Damascus,OSAP,OSAP
ALR,Alexandra Aerodrome,-45.210495,169.371113,OC,NZ,Alexandra,Pacific/Auckland,NZLX,NZLX
ALS,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,NA,US,Alamosa,America/Denver,KALS,KALS
ALW,Walla Walla Regional Airport,46.09489822,-118.288002,NA,US,Walla Walla,America/Los_Angeles,KALW,KALW
AMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,NA,US,Amarillo,America/Chicago,KAMA,KAMA
AMD,Sardar Vallabh Bhai Patel International Airport,23.0772,72.634697,AS,IN,Ahmedabad,Asia/Kolkata,VAAH,VAAH
AMH,Arba Minch Airport,6.03939,37.5905,AF,ET,Arba Minch,Africa/Addis_Ababa,HAAM,HAAM
AMM,Queen Alia International Airport,31.7226009369,35.9931983948,AS,JO,Amman,Asia/Amman,OJAI,OJAI
AMQ,Pattimura International Airport,-3.71026,128.089005,AS,ID,Ambon,Asia/Jayapura,WAPP,WAPP
AMS,Amsterdam Airport Schiphol,52.308601,4.76389,EU,NL,Amsterdam,Europe/Amsterdam,EHAM,EHAM
AMV,Amderma Airport,69.76329803466797,61.556400299072266,AS,RU,Amderma,Europe/Moscow,ULDD,ULDD
AMZ,Ardmore Airport,-37.029701232910156,174.97300720214844,OC,NZ,Manurewa,Pacific/Auckland,NZAR,NZAR
ANB,Anniston Regional Airport,33.5882,-85.8581,NA,US,Anniston,America/Chicago,KANB,KANB
ANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561,NA,US,Anchorage,America/Anchorage,PANC,PANC
AND,Anderson Regional Airport,34.4945983887,-82.70939636230001,NA,US,Anderson,America/New_York,KAND,KAND
ANE,Angers Marcé airport,47.560299,-0.312222,EU,FR,Angers,Europe/Paris,LFJR,LFJR
ANF,Andrés Sabella Gálvez International Airport,-23.444501,-70.445099,SA,CL,Antofagasta,America/Santiago,SCFA,SCFA
ANG,Angoulême Brie-Champniers airport,45.729198,0.221456,EU,FR,Angoulême,Europe/Paris,LFBU,LFBU
ANI,Aniak Airport,61.581600189208984,-159.54299926757812,NA,US,Aniak,America/Anchorage,PANI,PANI
ANK,Etimesgut Air Base,39.949798584,32.6885986328,AS,TR,Ankara,Europe/Istanbul,LTAD,LTAD
ANM,Antsirabe Airport,-14.9994,50.320202,AF,MG,Antsirabe,Indian/Antananarivo,FMNH,FMNH
ANN,Annette Island Airport,55.037663,-131.572609,NA,US,Metlakatla,America/Metlakatla,PANT,PANT
ANR,Antwerp International Airport (Deurne),51.190667,4.463153,EU,BE,Antwerp,Europe/Brussels,EBAW,EBAW
ANU,V C Bird International Airport,17.1367,-61.792702,NA,AG,Osbourn,America/Antigua,TAPA,TAPA
ANV,Anvik Airport,62.646702,-160.190994,NA,US,Anvik,America/Anchorage,PANV,PANV
ANX,"Andøya Airport, Andenes",69.292503,16.144199,EU,NO,Andenes,Europe/Oslo,ENAN,ENAN
AOC,Leipzig–Altenburg Airport,50.981945,12.506389,EU,DE,Nobitz,Europe/Berlin,EDAC,EDAC
AOE,Anadolu Airport,39.809898,30.5194,AS,TR,Eskişehir,Europe/Istanbul,LTBY,LTBY
AOG,Anshan Teng'ao Airport / Anshan Air Base,41.105301,122.853996,AS,CN,Anshan,Asia/Shanghai,ZYAS,ZYAS
AOI,Marche Airport,43.616299,13.3623,EU,IT,Falconara Marittima (AN),Europe/Rome,LIPY,LIPY
AOJ,Aomori Airport,40.73469924926758,140.6909942626953,AS,JP,Aomori,Asia/Tokyo,RJSA,RJSA
AOK,Karpathos Airport,35.421398,27.146,EU,GR,Karpathos Island,Europe/Athens,LGKP,LGKP
AOL,Paso De Los Libres Airport,-29.6894,-57.1521,SA,AR,Paso de los Libres,America/Argentina/Cordoba,SARL,SARL
AOO,Altoona Blair County Airport,40.296398,-78.32,NA,US,Altoona,America/New_York,KAOO,KAOO
AOR,Sultan Abdul Halim Airport,6.189670085906982,100.39800262451172,AS,MY,Alor Satar,Asia/Kuala_Lumpur,WMKA,WMKA
